key_resp_13.keys,key_resp_13.rt,key_resp.keys,key_resp.rt,key_resp_10.keys,key_resp_10.rt,slider_2.response,slider_2.rt,NVScal.thisRepN,NVScal.thisTrialN,NVScal.thisN,NVScal.thisIndex,NVScal.ran,msg,Echelle,Prolific ID*,Age*,First Name*,Gender (Male/Female/Other)*,date,expName,psychopyVersion,OS,frameRate,participant,id,session,researcher,key_resp_11.keys,key_resp_11.rt,slider_3.response,slider_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,category,EMOTION,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,entrainement,repcorr,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,cible,type,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt
space,3.81468,space,4.6187,space,7.439255,3.158919428,6.27379,0,0,0,9,1,Self-absorbed,NVS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.834075557,5.20322,0,1,1,0,1,Authoritative,NGS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.611896446,2.027375,0,2,2,2,1,Envied,NGS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.307234203,2.871645,0,3,3,8,1,Ignored,NVS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.879333893,1.59315,0,4,4,4,1,Powerful,NGS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.015305165,1.815795,0,5,5,17,1,Vengeful,NVS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.13442826,2.385275,0,6,6,16,1,Misunderstood,NVS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.973770404,2.593425,0,7,7,5,1,Prominent,NGS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.986309041,3.1879,0,8,8,11,1,Underappreciated,NVS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.077021553,2.52772,0,9,9,15,1,Irritable,NVS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.002961944,2.113165,0,10,10,6,1,Superior,NGS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.002961944,0.775285,0,11,11,1,1,Dominant,NGS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.002961944,0.793315,0,12,12,12,1,Envious,NVS,5e9508cc455d931189fee485,18,,M,2020-10-22_11h00.34.005,Personality Lexical Decision,2020.2.3,Win32,60,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
