key_resp_13.keys,key_resp_13.rt,key_resp.keys,key_resp.rt,key_resp_10.keys,key_resp_10.rt,slider_2.response,slider_2.rt,NVScal.thisRepN,NVScal.thisTrialN,NVScal.thisN,NVScal.thisIndex,NVScal.ran,msg,Echelle,Prolific ID*,Age*,First Name*,Gender (Male/Female/Other)*,date,expName,psychopyVersion,OS,frameRate,participant,id,session,researcher,key_resp_11.keys,key_resp_11.rt,slider_3.response,slider_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,category,EMOTION,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,entrainement,repcorr,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,cible,type,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt
space,16.125105,space,4.233765,space,5.86784,3.016460905,10.77501,0,0,0,6,1,Superior,NGS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.83127572,2.60157,0,1,1,7,1,Ashamed,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.70781893,2.979975,0,2,2,2,1,Envied,NGS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.576131687,1.88831,0,3,3,16,1,Misunderstood,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.148148148,3.02569,0,4,4,4,1,Powerful,NGS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.094650206,3.21053,0,5,5,11,1,Underappreciated,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.604938272,1.967635,0,6,6,14,1,Insecure,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.827160494,1.95599,0,7,7,5,1,Prominent,NGS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.609053498,2.201575,0,8,8,13,1,Resentful,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.325102881,1.75448,0,9,9,1,1,Dominant,NGS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.172839506,1.9022,0,10,10,3,1,High-Status,NGS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.407407407,1.63536,0,11,11,8,1,Ignored,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.827160494,2.52007,0,12,12,10,1,Fragile,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.320987654,2.096375,0,13,13,15,1,Irritable,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.21399177,1.94898,0,14,14,12,1,Envious,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.069958848,2.470955,0,15,15,9,1,Self-absorbed,NVS,5eeca11b2c93d5024cf8472c,18,,m,2020-10-22_11h02.27.853,Personality Lexical Decision,2020.2.3,Win32,60,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
