key_resp_13.keys,key_resp_13.rt,key_resp.keys,key_resp.rt,key_resp_10.keys,key_resp_10.rt,slider_2.response,slider_2.rt,NVScal.thisRepN,NVScal.thisTrialN,NVScal.thisN,NVScal.thisIndex,NVScal.ran,msg,Echelle,Prolific ID*,Age*,First Name*,Gender (Male/Female/Other)*,date,expName,psychopyVersion,OS,frameRate,participant,id,session,researcher,key_resp_11.keys,key_resp_11.rt,slider_3.response,slider_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,category,EMOTION,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,entrainement,repcorr,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,cible,type,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt
space,8.230505,space,1.44749,space,2.77149,2.001736111,2.799205,0,0,0,4,1,Powerful,NGS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.013020833,3.88784,0,1,1,6,1,Superior,NGS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.103298611,1.89286,0,2,2,7,1,Ashamed,NVS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4.236979167,2.150405,0,3,3,15,1,Irritable,NVS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4.414930556,6.75078,0,4,4,14,1,Insecure,NVS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.991319444,1.39436,0,5,5,11,1,Underappreciated,NVS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.205729167,1.177785,0,6,6,10,1,Fragile,NVS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.052083333,1.138855,0,7,7,8,1,Ignored,NVS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.958333333,1.151635,0,8,8,17,1,Vengeful,NVS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.112847222,2.02539,0,9,9,13,1,Resentful,NVS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.105902778,1.91233,0,10,10,0,1,Authoritative,NGS,5c578b57e66e510001eec4c6,25,,Female,2020-10-22_10h53.07.604,Personality Lexical Decision,2020.2.3,Win32,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
